1,223,223,0
2,223,191,0
3,223,159,0
4,223,127,0
5,223,95,0
6,223,63,0
7,223,31,0
8,191,223,0
9,191,191,0
10,191,159,0
11,191,127,0
12,191,95,0
13,191,63,0
14,191,31,0
15,159,223,0
16,159,191,0
17,159,159,0
18,159,127,0
19,159,95,0
20,159,63,0
21,159,31,0
22,127,223,0
23,127,191,0
24,127,159,0
25,127,127,0
26,127,95,0
27,127,63,0
28,127,31,0
29,95,223,0
30,95,191,0
31,95,159,0
32,95,127,0
33,95,95,0
34,95,63,0
35,95,31,0
36,63,223,0
37,63,191,0
38,63,159,0
39,63,127,0
40,63,95,0
41,63,63,0
42,63,31,0
43,31,223,0
44,31,191,0
45,31,159,0
46,31,127,0
47,31,95,0
48,31,63,0
49,31,31,0
50,223,0,0
51,223,0,31
52,223,0,63
53,223,0,95
54,223,0,127
55,223,0,159
56,223,0,191
57,223,0,223
58,191,0,0
59,191,0,31
60,191,0,63
61,191,0,95
62,191,0,127
63,191,0,159
64,191,0,191
65,191,0,223
66,159,0,0
67,159,0,31
68,159,0,63
69,159,0,95
70,159,0,127
71,159,0,159
72,159,0,191
73,159,0,223
74,127,0,0
75,127,0,31
76,127,0,63
77,127,0,95
78,127,0,127
79,127,0,159
80,127,0,191
81,127,0,223
82,95,0,0
83,95,0,31
84,95,0,63
85,95,0,95
86,95,0,127
87,95,0,159
88,95,0,191
89,95,0,223
90,63,0,0
91,63,0,31
92,63,0,63
93,63,0,95
94,63,0,127
95,63,0,159
96,63,0,191
97,63,0,223
98,31,0,0
99,31,0,31
100,31,0,63
101,31,0,95
102,31,0,127
103,31,0,159
104,31,0,191
105,31,0,223
106,0,223,0
107,0,191,0
108,0,159,0
109,0,127,0
110,0,95,0
111,0,63,0
112,0,31,0
113,0,0,0
114,0,223,31
115,0,191,31
116,0,159,31
117,0,127,31
118,0,95,31
119,0,63,31
120,0,31,31
121,0,0,31
122,0,223,63
123,0,191,63
124,0,159,63
125,0,127,63
126,0,95,63
127,0,63,63
128,0,31,63
129,0,0,63
130,0,223,95
131,0,191,95
132,0,159,95
133,0,127,95
134,0,95,95
135,0,63,95
136,0,31,95
137,0,0,95
138,0,223,127
139,0,191,127
140,0,159,127
141,0,127,127
142,0,95,127
143,0,63,127
144,0,31,127
145,0,0,127
146,0,223,159
147,0,191,159
148,0,159,159
149,0,127,159
150,0,95,159
151,0,63,159
152,0,31,159
153,0,0,159
154,0,223,191
155,0,191,191
156,0,159,191
157,0,127,191
158,0,95,191
159,0,63,191
160,0,31,191
161,0,0,191
162,0,223,223
163,0,191,223
164,0,159,223
165,0,127,223
166,0,95,223
167,0,63,223
168,0,31,223
169,0,0,223
170,0,0,255
171,0,31,255
172,0,63,255
173,0,95,255
174,0,127,255
175,0,159,255
176,0,191,255
177,0,223,255
178,31,0,255
179,31,31,255
180,31,63,255
181,31,95,255
182,31,127,255
183,31,159,255
184,31,191,255
185,31,223,255
186,63,0,255
187,63,31,255
188,63,63,255
189,63,95,255
190,63,127,255
191,63,159,255
192,63,191,255
193,63,223,255
194,95,0,255
195,95,31,255
196,95,63,255
197,95,95,255
198,95,127,255
199,95,159,255
200,95,191,255
201,95,223,255
202,127,0,255
203,127,31,255
204,127,63,255
205,127,95,255
206,127,127,255
207,127,159,255
208,127,191,255
209,127,223,255
210,159,0,255
211,159,31,255
212,159,63,255
213,159,95,255
214,159,127,255
215,159,159,255
216,159,191,255
217,159,223,255
218,191,0,255
219,191,31,255
220,191,63,255
221,191,95,255
222,191,127,255
223,191,159,255
224,191,191,255
225,191,223,255
226,223,0,255
227,223,31,255
228,223,63,255
229,223,95,255
230,223,127,255
231,223,159,255
232,223,191,255
233,223,223,255
234,0,255,255
235,0,255,223
236,0,255,191
237,0,255,159
238,0,255,127
239,0,255,95
240,0,255,63
241,0,255,31
242,0,255,0
243,31,255,255
244,31,255,223
245,31,255,191
246,31,255,159
247,31,255,127
248,31,255,95
249,31,255,63
250,31,255,31
251,31,255,0
252,63,255,255
253,63,255,223
254,63,255,191
255,63,255,159
256,63,255,127
257,63,255,95
258,63,255,63
259,63,255,31
260,63,255,0
261,95,255,255
262,95,255,223
263,95,255,191
264,95,255,159
265,95,255,127
266,95,255,95
267,95,255,63
268,95,255,31
269,95,255,0
270,127,255,255
271,127,255,223
272,127,255,191
273,127,255,159
274,127,255,127
275,127,255,95
276,127,255,63
277,127,255,31
278,127,255,0
279,159,255,255
280,159,255,223
281,159,255,191
282,159,255,159
283,159,255,127
284,159,255,95
285,159,255,63
286,159,255,31
287,159,255,0
288,191,255,255
289,191,255,223
290,191,255,191
291,191,255,159
292,191,255,127
293,191,255,95
294,191,255,63
295,191,255,31
296,191,255,0
297,223,255,255
298,223,255,223
299,223,255,191
300,223,255,159
301,223,255,127
302,223,255,95
303,223,255,63
304,223,255,31
305,223,255,0
306,255,0,255
307,255,31,255
308,255,63,255
309,255,95,255
310,255,127,255
311,255,159,255
312,255,191,255
313,255,223,255
314,255,255,255
315,255,0,223
316,255,31,223
317,255,63,223
318,255,95,223
319,255,127,223
320,255,159,223
321,255,191,223
322,255,223,223
323,255,255,223
324,255,0,191
325,255,31,191
326,255,63,191
327,255,95,191
328,255,127,191
329,255,159,191
330,255,191,191
331,255,223,191
332,255,255,191
333,255,0,159
334,255,31,159
335,255,63,159
336,255,95,159
337,255,127,159
338,255,159,159
339,255,191,159
340,255,223,159
341,255,255,159
342,255,0,127
343,255,31,127
344,255,63,127
345,255,95,127
346,255,127,127
